"","date","rain"
"1",2010-12-31 16:00:00,0
"2",2011-01-01 16:00:00,0
"3",2011-01-02 16:00:00,0
"4",2011-01-03 16:00:00,0
"5",2011-01-04 16:00:00,0.0211666666666667
"6",2011-01-05 16:00:00,0.169333333333333
"7",2011-01-06 16:00:00,0
"8",2011-01-07 16:00:00,0
"9",2011-01-08 16:00:00,0
"10",2011-01-09 16:00:00,0
"11",2011-01-10 16:00:00,0.0846666666666667
"12",2011-01-11 16:00:00,1.04775
"13",2011-01-12 16:00:00,4.16983333333333
"14",2011-01-13 16:00:00,0
"15",2011-01-14 16:00:00,0
"16",2011-01-15 16:00:00,0
"17",2011-01-16 16:00:00,0
"18",2011-01-17 16:00:00,0
"19",2011-01-18 16:00:00,0.0529166666666667
"20",2011-01-19 16:00:00,0
"21",2011-01-20 16:00:00,0
"22",2011-01-21 16:00:00,0
"23",2011-01-22 16:00:00,0
"24",2011-01-23 16:00:00,0
"25",2011-01-24 16:00:00,0
"26",2011-01-25 16:00:00,0
"27",2011-01-26 16:00:00,0
"28",2011-01-27 16:00:00,0
"29",2011-01-28 16:00:00,0.0105833333333333
"30",2011-01-29 16:00:00,0
"31",2011-01-30 16:00:00,0
"32",2011-01-31 16:00:00,0
"33",2011-02-01 16:00:00,0
"34",2011-02-02 16:00:00,0
"35",2011-02-03 16:00:00,0
"36",2011-02-04 16:00:00,0
"37",2011-02-05 16:00:00,0.1905
"38",2011-02-06 16:00:00,0.66675
"39",2011-02-07 16:00:00,0.148166666666667
"40",2011-02-08 16:00:00,0
"41",2011-02-09 16:00:00,0
"42",2011-02-10 16:00:00,0.47625
"43",2011-02-11 16:00:00,1.53458333333333
"44",2011-02-12 16:00:00,0.116416666666667
"45",2011-02-13 16:00:00,0
"46",2011-02-14 16:00:00,0
"47",2011-02-15 16:00:00,0.0211666666666667
"48",2011-02-16 16:00:00,0
"49",2011-02-17 16:00:00,0.0635
"50",2011-02-18 16:00:00,0
"51",2011-02-19 16:00:00,3.59833333333333
"52",2011-02-20 16:00:00,0
"53",2011-02-21 16:00:00,0
"54",2011-02-22 16:00:00,0
"55",2011-02-23 16:00:00,3.51366666666667
"56",2011-02-24 16:00:00,0
"57",2011-02-25 16:00:00,0
"58",2011-02-26 16:00:00,0.0211666666666667
"59",2011-02-27 16:00:00,0
"60",2011-02-28 16:00:00,0.105833333333333
"61",2011-03-01 16:00:00,0
"62",2011-03-02 16:00:00,0.179916666666667
"63",2011-03-03 16:00:00,0.79375
"64",2011-03-04 16:00:00,0.359833333333333
"65",2011-03-05 16:00:00,0.34925
"66",2011-03-06 16:00:00,0.03175
"67",2011-03-07 16:00:00,0
"68",2011-03-08 16:00:00,1.3335
"69",2011-03-09 16:00:00,0.0846666666666667
"70",2011-03-10 16:00:00,0.0740833333333333
"71",2011-03-11 16:00:00,0.0211666666666667
"72",2011-03-12 16:00:00,0
"73",2011-03-13 17:00:00,0
"74",2011-03-14 17:00:00,0
"75",2011-03-15 17:00:00,0
"76",2011-03-16 17:00:00,0.0105833333333333
"77",2011-03-17 17:00:00,0.03175
"78",2011-03-18 17:00:00,0.0846666666666667
"79",2011-03-19 17:00:00,0
"80",2011-03-20 17:00:00,0
"81",2011-03-21 17:00:00,0.1905
"82",2011-03-22 17:00:00,0.0105833333333333
"83",2011-03-23 17:00:00,0.0635
"84",2011-03-24 17:00:00,0.0846666666666667
"85",2011-03-25 17:00:00,0.0211666666666667
"86",2011-03-26 17:00:00,0
"87",2011-03-27 17:00:00,0.0529166666666667
"88",2011-03-28 17:00:00,0
"89",2011-03-29 17:00:00,0.0105833333333333
"90",2011-03-30 17:00:00,0
"91",2011-03-31 17:00:00,0.0105833333333333
"92",2011-04-01 17:00:00,0
"93",2011-04-02 17:00:00,0.0105833333333333
"94",2011-04-03 17:00:00,0
"95",2011-04-04 17:00:00,0
"96",2011-04-05 17:00:00,0
"97",2011-04-06 17:00:00,0.328083333333333
