"","Reef","Transect","Habitat","SurveyDate","Abiotic","CCA","Coral","InvasiveAlgae_Gs","Method","Treatment","urchin","supersucker","Month","Year","H_bio","Hbrow","Hgd","Hscex","H_dens","totBio","totDens","discharge","sst","airt","wind","rain","par","kapp"
"1",16,"16LE1","Slope",2012-02-02,10.3174603174603,4.76190476190476,60.3174603174603,0,"LPI","0",0,0,2,2012,0.770210739160447,0,0,0.298613696670069,0.0973333333333333,6.17915754019525,0.122666666666667,1.58330981182796,23.5747311827957,23.4465053763441,3.18488357526882,0.0122903225806452,295.259408602151,23.8095238095238
"2",16,"16LE1","Slope",2012-06-04,11.9047619047619,0.793650793650794,61.1111111111111,0,"LPI","0",0,0,6,2012,3.40555529562917,0,0.195662927227308,2.23305406285264,0.213333333333333,8.94623016778904,0.344,1.70094422043011,24.8075444132772,23.733567087424,5.68561251344086,0.00955913978494624,466.094086021505,25.3968253968254
"3",16,"16LE1","Slope",2012-09-13,9.52380952380952,5.55555555555556,61.1111111111111,0,"LPI","0",0,0,9,2012,1.98931798615018,0,0.230887257627743,0.6241211823327,0.2352,3.8523911201315,0.2992,1.4804435483871,26.1122311827957,25.1110215053763,5.64522572580645,0.0300430107526882,437.587365591398,23.8095238095238
"4",16,"16LE1","Slope",2013-01-08,4.76190476190476,4.76190476190476,57.1428571428571,0,"LPI","0",0,0,1,2013,0.898910585184205,0,0.0286403500517612,0.147428915048186,0.192,2.12882417907016,0.2528,1.3622748655914,22.9939516129032,23.1538978494624,6.03502211021505,0.0713521505376344,234.024193548387,32.5396825396825
"5",16,"16LE1","Slope",2013-03-05,6.34920634920635,3.96825396825397,46.8253968253968,0,"LPI","0",0,0,3,2013,2.61695838129562,0,0.116542242925322,1.46524726650309,0.2912,3.65039410191511,0.3312,1.39385416666667,22.0581989247312,22.3217741935484,6.75963537634409,0.0464301075268817,332.008064516129,42.0634920634921
"6",16,"16LE1","Slope",2013-05-31,11.1111111111111,3.17460317460317,59.5238095238095,0,"LPI","0",0,0,5,2013,1.08451806847865,0,0.211502654780806,0.355963272187519,0.1568,2.92747138635266,0.2672,4.5012797223146,25.9288978494624,24.2138440860215,4.01488790322581,0.0607688172043011,379.916666666667,24.6031746031746
"7",16,"16LE1","Slope",2013-09-11,21.4285714285714,0,70.6349206349206,0,"LPI","0",0,0,9,2013,0,0,0,0,0,0.244400272709437,0.0144,1.67093413978495,27.1344086021505,25.9122311827957,4.63079350806452,0.0505268817204301,458.143817204301,6.34920634920635
"8",16,"16LE1","Slope",2013-12-11,10.3174603174603,7.14285714285714,62.6984126984127,0,"LPI","0",0,0,12,2013,0.542428535347162,0,0.310884535487708,0.129036428062411,0.264,2.07982788713408,0.361333333333333,1.83548387096774,24.9805107526882,24.3426075268817,2.90217282258065,0.0880806451612903,261.495967741935,18.2539682539683
"9",16,"16LE1","Slope",2015-06-23,23.8095238095238,0.793650793650794,65.0793650793651,0,"LPI","0",0,0,6,2015,2.78129151313423,0.0946787135580231,0.77946662223449,0.448901385245266,0.448666666666667,5.50923444936268,0.699333333333333,1.6623689516129,25.8475806451613,24.498252688172,4.30808971774194,0.0894462365591398,333.655913978495,8.73015873015873
"10",16,"16LE1","Slope",2016-02-08,28.5714285714286,1.58730158730159,69.8412698412698,0,"LPI","1",1,1,2,2016,13.4979940459981,0,1.46552933617322,11.2465237861242,0.306666666666667,17.7582092787729,0.428,2.18814180107527,24.7407667134175,23.4332865825152,2.18103985682562,0.0319132772323516,268.390252454418,0
