"","SurveyDate","Reef","H_bio","Hbrow","Hgd","Hscex","H_dens","totBio","totDens","Month","Year"
"1",2011-09-22,16,0,0,0,0,0,6.5081279063619,0.032,9,2011
"2",2011-11-03,26,4.60707422901901,0.000281966396676908,0.384697220998917,1.03803472179562,0.521,4.99578609963214,0.575,11,2011
"3",2011-11-04,26,4.26007888106781,0,0.743533362079394,0.269942428220105,0.82,4.38369358252416,1.012,11,2011
"4",2011-11-09,26,2.12457197040435,0,1.12451219360778,1.02006057845152,0.198,6.9925963550079,0.6,11,2011
"5",2011-12-14,28,2.21360512111257,0,0.120994119210004,0.843055554771718,0.224,2.5771405508841,0.486,12,2011
"6",2011-12-15,28,2.46438046064418,0.00445130292593018,1.04530652559059,0.465540898563393,0.247111111111111,4.13707592878988,0.560888888888889,12,2011
"7",2011-12-16,28,10.3045578525162,1.08021620957731,6.71030376601942,2.77918621997738,0.5312,26.5193120636881,1.2992,12,2011
"8",2012-01-19,27,6.1466583885793,0.0282738275219394,0.336301391851196,5.18303586906588,0.195,11.0291757093082,0.391,1,2012
"9",2012-02-02,16,0.770210739160447,0,0,0.298613696670069,0.0973333333333333,6.17915754019525,0.122666666666667,2,2012
"10",2012-02-06,26,0,0,0,0,0,9.03779267994108,0.06,2,2012
"11",2012-03-14,16,0,0,0,0,0,24.910057809791,0.016,3,2012
"12",2012-04-02,28,4.31351875260827,0,0.831537990457041,0.946079224196647,0.560888888888889,5.46171184550411,0.809777777777778,4,2012
"13",2012-04-16,29,8.48779896173225,0,3.82602395912712,1.84132289560526,0.7824,12.021150120179,0.932,4,2012
"14",2012-04-17,29,7.65919482375143,0.112472661720898,1.50162482160803,2.81931517063952,0.838,15.0754290180785,1.05133333333333,4,2012
"15",2012-05-02,27,0,0,0,0,0,1.35231026316306,0.016,5,2012
"16",2012-05-03,26,0.532486895314956,0,0,0,0.002,3.34356215755368,0.046,5,2012
"17",2012-06-04,16,3.40555529562917,0,0.195662927227308,2.23305406285264,0.213333333333333,8.94623016778904,0.344,6,2012
"18",2012-06-13,28,2.66651260984022,0,1.97147951931439,0.780964190939581,0.240888888888889,5.77651066587657,0.470222222222222,6,2012
"19",2012-07-24,29,4.27322894898197,0,1.30232349725229,1.591493609261,0.64725,10.3305671134822,0.8495,7,2012
"20",2012-08-07,26,0,0,0,0,0,2.66095498173652,0.06,8,2012
"21",2012-08-08,27,0,0,0,0,0,5.0490312692298,0.0285714285714286,8,2012
"22",2012-09-11,28,5.10889269576721,0,1.55300041045871,2.45320599090227,0.546666666666667,7.96210219328635,0.914222222222222,9,2012
"23",2012-09-13,16,1.98931798615018,0,0.230887257627743,0.6241211823327,0.2352,3.8523911201315,0.2992,9,2012
"24",2012-10-10,29,1.40380559656492,0,2.14286809656492,0,0.008,18.566115397773,0.0886666666666667,10,2012
"25",2012-10-17,29,0,0,0,0,0,3.49249736744992,0.024,10,2012
"26",2012-10-18,29,0,0,0,0,0,0.508610787304686,0.032,10,2012
"27",2012-10-24,29,0,0,0,0,0,3.87622325403738,0.032,10,2012
"28",2012-11-19,26,0,0,0,0,0,1.30702160544859,0.0213333333333333,11,2012
"29",2012-11-19,27,0,0,0,0,0,0.45443603353514,0.008,11,2012
"30",2012-12-11,16,0,0,0,0,0,1.05163492940572,0.008,12,2012
"31",2012-12-11,28,3.30457765528618,0,2.70946723925725,0.339399375525341,0.133777777777778,4.9302366844247,0.387111111111111,12,2012
"32",2013-01-08,16,0.898910585184205,0,0.0286403500517612,0.147428915048186,0.192,2.12882417907016,0.2528,1,2013
"33",2013-01-22,29,2.53091636553099,0,0.397989642897896,2.13292672263309,0.00685714285714286,9.20362143993705,0.0297142857142857,1,2013
"34",2013-02-06,26,0,0,0,0,0,0,0.008,2,2013
"35",2013-02-07,27,0,0,0,0,0,27.374468327249,0.032,2,2013
"36",2013-03-05,16,2.61695838129562,0,0.116542242925322,1.46524726650309,0.2912,3.65039410191511,0.3312,3,2013
"37",2013-03-07,28,4.60939534928741,0,1.22613913019903,2.27388951674328,0.526222222222222,8.79169959877226,0.884,3,2013
"38",2013-04-22,29,0,0,0,0,0,4.4793224191121,0.008,4,2013
"39",2013-05-06,26,0,0,0,0,0,4.4300918518533,0.032,5,2013
"40",2013-05-20,27,0,0,0,0,0,1.00897314935607,0.016,5,2013
"41",2013-05-31,16,1.08451806847865,0,0.211502654780806,0.355963272187519,0.1568,2.92747138635266,0.2672,5,2013
"42",2013-06-03,28,1.58006321422608,0,0.851814432299466,0.616629983673366,0.168888888888889,4.61145195915602,0.428,6,2013
"43",2013-09-11,16,0,0,0,0,0,0.244400272709437,0.0144,9,2013
"44",2013-12-11,16,0.542428535347162,0,0.310884535487708,0.129036428062411,0.264,2.07982788713408,0.361333333333333,12,2013
"45",2014-02-01,16,2.30137770164285,0.0539868776260308,0.543832845471318,0.475505685376233,0.4352,5.0040758983819,0.592,2,2014
"46",2014-02-01,28,12.9994574531711,0,1.1600301934774,4.09998348040887,1.02177777777778,15.6807447218761,1.19777777777778,2,2014
"47",2014-02-24,16,0,0,0,0,0,1.01800622904393,0.032,2,2014
"48",2014-09-10,9,10.9664822952255,0.384453355532203,3.33731772523435,4.76685132222977,1.1376,16.2910512989896,1.46826666666667,9,2014
"49",2014-09-10,14,6.44234549278575,0.110428209808307,1.71405282489065,1.78376189232605,0.8552,9.17699566102845,1.0572,9,2014
"50",2014-09-11,9,12.1388764798957,0,4.75265702498531,4.56966295404443,0.808,18.3541791709307,1.184,9,2014
